Significati prevalentemente al plurale 	Significati esclusivamente alla forma plurale (pluralia tantum semantici)	Sostantivi esclusivamente al pluale (Pluralia tantum formali)
abavi	acque	addenda
abbaglianti	adattili	adiafora
abbracciamenti	addominali	alfa–idrossi–acidi 
ablusioni	affari	ambarvali
acque	affini	analecta
acque	afroasiatici	analemmata
acquerelli	aggruppamenti	annali
acrobazie	agiografi	appendizie
actinotrici	agonali	aresterie
acufeni	aiuti	assets 
adenoidi	alberghieri	begliuomini
aderenze	alimentari	burgenses 
adiacenze	alimenti	calende
adiaforisti	allievi	calzebrache 
aerofoni	alpini	carmentali
afferenze	amiclei	cerealie 
agapeti	amori	collectanea
agevolazioni	anagnosti	compitali 
agevolezze	anelli1	coperchiole 
agganci	anelli2	corn–flakes
agi	angiporti	cortes
agrumi	anni	cosmi
albori	anticaglie	croquants 
alcolici	antichità	culottes
alisei	antipodi	data
allagamenti	appartamenti	delikatessen
alloggi	approvvigionamenti1	desiderata
alti	approvvigionamenti2	efeti
alti	archi	elementari
alucce	aridi	emblemata
amarezze	armi1	entomata
amichevolezze	armi2	equirrie
amicizie	armatoli	erotemata
amici	arresti	esequie
amistà	arrivi1	excerpta
ampollina	arrivi2	exsiccata
anabbaglianti	artigiani	feci
anaglifi	assai	fontinalie
analisi	assoluti	furrinalie
sanassiridi	attinenze	fusa
andamenti	atti1	gozos
anelletti	atti2	guagnele
anellini	atti3	guidelines
anelli	attrattive	hands
animelle	attrezzi	ilarie
annessi	attributi	interiora
anni	attribuzioni	karren
anolini	auguri	king
antecedenti	austridi	kitas
antecedenti	autoaccessori	lanciers
antecessori	autoricambi	latrunculi
antechi	autorità	levellers
antenati	azuleni	librettine
antichità	bagnature	lochi
antichi	bagni1	logia
apostolici	bagni2	magistrali
apparenze	baniani	malebranche
appartenenze	baracconi	mandata
arcavoli	barbine	manubie
arie	barelle	marginalia
arietidi	basette	matralie
armamenti	bassifondi	matronalie
armati	bastoncelli	medie
armoniche	battole	memorabilia
arnesi	bellezze	micropolveri
aromi	bersaglieri	militaria
arredi	bestini	millanni
arretrati	bianchi	minimalia
arrivi	birilli	mirabilia
artiglierie	blindamenti	mirabilie
varzigogoli	boccette	murales
ascendenti	bocce	nari
ascoltatori	bollicine	narodniki
ascritti	borsette	nemorali
aspettative	bottelli	neoteroi
aspettative	bracaloni	news
assaggino	braccia	none
asserelle	bruscandoli	nundine
asserelli	bruschette	oaks
assicurazioni	bruscolini	offendicula
astanti	brutte	oralia
atavi	buche	paganali
attacchi	budella	palilie
attenzioni	burattini	paraphernalia
attese	caccole	parentali
attrazzi	cadetti	parentalie
attualità	calcioni1	portunali
attributi	calcioni2	precordi
audiovisivi	calcionetti	principia
aurigidi	calorie	pudenda
auspici	calze	qedeshim
autoreggenti	calzettoni	quarantore
autoriparazioni	camere	quattrossa
autorità	campanelli	quiquatrie
avanzi	cannelloni	quintigliati
averi	cannolicchi	ragas
avi	cannoncini	rails
avoli	capelli	recentissime
avvenire	capitolazioni	recuperatores
avversità	capitoli	reni
avvertenze	caporali	rosalie
avvisaglie	carabinieri	salvatorie
babbaluci	carni	scholia
bacchette	cari	schützen
baciari	carristi	shorts
bacilli	casalinghi	smerdy
baffi	casuali	sovrapantaloni
bagagli	cavoli1	stigmate
baggy	cavoli2	superiori
bagni	cavoli3	surges
bagordi	cazzi	acculas
baiocchi	celeri	talisie
baionette	cembali	tapas
ballerini	cembanelle	taurocatapsie
balote	ceneri	tempora
banane	cento	tempore
barbe	centodieci	terme
barbe	ceppi	tesmoforie
barbe	cerchietti	timbales
barbe	cereali	traps
barbigi	cernite	traveggole
barbine	cervella	triacadi
barbule	cesoie	trittie
barde	cheliceri	veneralie
basi	chiacchiere	verba
basette	chieriche	vicanalia
bassaridi	ciclisti	vinalie
bassi1	cieli	xenia
bassi2	cinelle	
bassi3	cinquecento	
bastoni	cinquemila	
batteri	cinquemila	
battimani	cocci	
batuffoli	colombi	
bavette	comacini	
beazze	comandamenti	
bellurie	cominci	
beni	commestibili	
bezzi	comodità	
biade	complicazioni	
bianchetti	complimenti	
bianchi	comunanze	
bianchi	comuneros	
bicciolani	conclusioni	
biciancole	concordanze	
bicipiti	concubini	
bielidi	condoglianze	
bigoli	confessioni	
bilanceri	confini	
bionde	coniugi	
bisarcavoli	connessi	
bisavi	conoscenze	
bisogni1	consumi	
bisogni2	contigie	
blandizie	convenevoli	
bloomer1	convenienze	
bloomer2	conversazioni	
boardshorts	coppe	
bocce	corbezzole	
bocconcini	corbezzoli	
bombolotti	cordiglieri	
bordoni	cortesie	
borse	cose	
botti	coste1	
brache1	coste2	
brache2	costruzioni1	
brache3	costruzioni2	
braccioli	credenziali	
brachesse	crudités	
brachette	cumbessias	
branche	cuori	
bretelle	danni	
brettine	delicatezze1	
briglie1	delicatezze2	
briglie2	denari	
briglie3	destini	
bronzi1	destre	
bronzi2	devozioni	
broccoletti	diaconico	
broccoli1	diavolilli	
broccoli2	diecimila1	
bruscolini	diecimila2	
bubstone	difese1	
bucatini	difese2	
buffetterie	diletti	
buffonisti	dintorni	
buggere	dioscuri	
burleschi	discorsi	
busse	distruzioni	
buzzolai	disubbidienti	
cacchioni	ditalini	
cadini	doglie	
cadute	dolci	
calamari	dolori	
calcole	doposcì	
calze1	duecento	
calze2	effetti	
calzature	elementi1	
calzoncini1	elementi2	
calzoncini2	elezioni	
calzoni1	ellenisti	
calzoni2	energie	
campanelle	epigoni	
campi	erbette	
canederli	erbucce	
cannatelli	esami	
cannellini1	esteri	
cannellini2	estremità1	
capellini	estremità2	
capitudini	esuvie	
cappellacci	dei	
cappelletti	eurasiatici	
capperi	evacuazioni	
capri	facoltà1	
capunet	facoltà2	
carabattole	fagioli	
caratteri	falde	
carichi	fanghi	
carni	farfalle	
carriaggi	fattacci	
carte	fatti	
cartacce	fauci1	
cartoon	fauci2	
cascami	favoriti	
cascoli	fazioni	
casoncelli	febbri	
castagnette	fenoli	
castagnole	ferri1	
castalidi	ferri2	
castricoli	feste	
catacombe	fette1	
catadupe	fette2	
catene	fianchi	
cateratte	fiati1	
cavalli	fiati2	
cavallucci	fibre	
cavatelli	filarchi	
cavoletti	fili	
celesti	finanze1	
cenci	finanze2	
ceppi	fini	
vasellami	fiori1	
cerati	fiori2	
cerimonie	fiorentini	
cetere	fioretti	
cetolini	fischiate	
cetriolini	flegoni	
chantilly	foci	
cheche	fogne	
chiacchiere1	fondamenta	
chiacchiere2	forbici	
chiacchiere3	formiche	
chiacchiere4	fortori	
chiappe	forze	
chiari	fosforescenze	
chifferi	frasami	
cianfrusaglie	frascherie	
ciarle	fratelli1	
ciarpe	fratelli2	
cibarie1	fraterie	
cibarie2	freccette	
ciccioli	frinzelli	
ciemopatie	fronde	
ciglia	fucilieri	
ciglia	funerali	
cilindri	fuscellini	
cilindroidi	fusi	
cineserie	gabbie	
cinghie1	galácticos	
cinghie2	gangherini	
cinturini1	garoni	
cinturini2	gemelli	
ciotole	generalità	
cipressini	genitali	
circoli	genitori	
circostanti	genti	
circostanze	gentili	
ciuffole	germini	
civaie	gesta	
classici	ghette	
cluni	gianchetti	
coccole1	giochi	
coccole2	gobbe	
coccoliti	goliardi	
cocuzze1	granelli	
cocuzze2	grani	
codette1	grazie	
codette2	grezzoni	
coerenze	grida	
coglioni	grisonidi	
cognizioni	groviglioli	
colivi	guarentigie	
collant	guide	
cologli	gusti	
colombe	idrazine	
coloniali	immortali	
colori	impedimenti	
columbidi	impegni	
comics	imperiali	
commentatori	improperi	
commenti	incombusti	
commerciali	infantigliole	
comminatorie	inferie	
commissioni	inizi	
comodità	insistenze	
compere	interessi	
competenze	interiori	
competenze	internazionali	
comunicazioni	interregionali	
conchiglie	intese	
condizioni1	intestini	
condizioni2	istituzioni	
confini1	istruzioni	
confini2	jeans	
conforti	labbia	
connotati	labbri	
conodonti	lagunari	
conquistadores	lancieri1	
consorziati	lancieri2	
consultazioni	latticini	
contanti	lattimelle	
conterie	laudi	
contorni	legni	
contraddizioni	legumi	
contrarietà	lettere1	
convenzioni	lettere2	
conversari	lettere3	
convinzioni	lezioni	
coordinate1	lieviti	
coordinate2	lilleri	
copricapezzoli	linee	
corallini	lineamenti1	
corazze	lineamenti2	
corde	lingue	
coriandoli	livellatori	
corizonti	lontananze	
cornetti	lonze	
corna1	lumi1	
corna2	lumi2	
coronarie	lupercali	
coronati	lussi	
corse	macerie	
corzetti	macrochete	
cose1	macrolidi	
cose2	madonne	
costine	maggiori1	
costituzioni	maggiori2	
cotiledoni	maghetti	
crauti	magi	
crespe	maltrattamenti	
croccantini	manette	
crociate	mani	
crostoli	marionette	
crusche	mazzetti	
cuffie1	meditazioni	
cuffie2	mele1	
cuffiette	mele2	
cure1	mele3	
cure2	membra	
curuli	memorie	
curve	meno	
daddoli	merci	
dande	merengue	
deboli	mesi	
deficienze	mestieri	
deflettori	mestole	
delicati	metece	
delineamenti	mezzi1	
delizie	mezzi2	
dermatozoi	migliarini	
derrate	miglia	
dì	mignatte	
dialoghi	milizie	
didimi	mille	
difficoltà	millecinquecento	
dimensioni	mine	
dimissioni	misteri	
diritti	mode	
disordini	modalità	
disponibilità	monachetti	
distinti	monachine	
distinzioni	mosche	
ditali1	moschette	
ditali2	mura1	
docce	mura2	
documenti	mutandoni	
dolcezze	nastri	
dolciumi	natali	
donzelline	natiche	
doveri	nativi	
drappi	nazionali	
droghe	nefasti	
dup	neri	
eccessi	nervetti	
economie	nervi	
effemeridi	nicchie	
elementi	ninfe	
eletti	nonni	
elettrici	novelli	
eliche	novissimi	
emoderivati	numerati	
emorroidi	numeri	
enciclopedisti	obbrobri	
energie1	oblate	
energie2	occhiali1	
erbe	occhiali2	
erbaggi	occorrenze	
ermellini	odori	
esperienze	offerte	
esplodenti	omaggi	
esportazioni	ombrellini	
esterni	orecchioni	
esteri	oreficerie	
estremi	origini	
etesii	ormeggi	
faccende	ori	
facelle	ossequi	
falde	ossa1	
falloforie	ossa2	
fangose	ostacoli	
farinacci	ostilità	
farinacei	ottocento	
fasce	ottoni1	
fattezze	ottoni2	
fatti	ozi	
fauci	pacifici	
favidi	padri1	
favori	padri2	
fedelini	paglietti	
fedini	palanche	
felicitazioni	palloncini	
femminili	pali1	
ferie	pali2	
ferocie	pandette	
ferramenta	pannolini	
ferri	pantofole	
ferrovie	paraggi	
ferse	parallele	
fervori	passati	
festeggiamenti	pecchie	
fettoni	penne	
fettuccine	pennelli	
fiamme	pennini	
fiamminghi	percosse	
fibre	percussioni1	
fiche	percussioni2	
fighter	perle	
figli	persone	
filarmonici	pesi	
fila	peste	
filoni	pezzami	
finalità	piatti	
finestre	picche1	
finezze	picche2	
finimenti	pinze	
finiture	pippioni	
fiocchetti	più	
fiocchi1	pizzi	
fiocchi2	polpe	
fiorami	polposità	
fischietti	polsini	
fischiotti	polverini	
flessioni	pori	
flutti	postille	
foderami	prasini	
foglie	predicabili	
foiade	preferenze	
fondacci	preliminari	
fondamentali	presidenziali	
fondamenta	pressi	
fondelli	primi	
fondi	principi	
fonti1	privative	
fonti2	progressi	
fonti3	proporzioni	
foratini	puntine	
forbici	puntolini	
forme	quaderni	
formosità	quadri1	
fornimenti	quadri2	
forze1	quadrucci	
forze2	quirinali	
forze3	ragazzi1	
fosfeni	ragazzi2	
fossette	raggi	
frantumi	ragionamenti	
frappe	ragioni	
frasche	rallegramenti	
frasche	reflui	
frasche	reginelle	
frasconi	reginette	
frattaglie	regionali	
fregne	regole	
fresine	respingenti	
friulane	resti1	
frogie	resti2	
fronde	resti3	
frontiere	rias	
fronze	ricce	
fronzoli	ricorrenze	
frou–frou	ricorsi	
frumenti	rigaglie1	
frutti	rigaglie2	
fumetti	rigatini	
fumi	rimanenti	
funami	rinchiuse	
funghi	rinfreschi	
funzioni	ristori	
fusaglie	ritorti	
fuseau	riverenze	
fusilli	rostri	
fusi	rotelle	
futuri	rotti	
gaie	rulli	
gale	sacramentali	
galani	saltelli	
gande	sapori	
garganelli	saturnali	
gargarismi	savari	
garge	scacchi	
gatte	scene	
gavine	schemi	
gelosia	scopettoni	
generi	scorie	
generici	secoli	
gengive	sensi	
gerarchie	sensi	
germi	sentenze	
gesti	servizi1	
gestri	servizi2	
ghianderini	servizi3	
giacenze	siepi	
gialli	signori1	
giapponeserie	signori2	
giardinetti	signorie	
gioie	sinistre	
giornalieri	sinottici	
giorni	soglie	
giostre	solitari	
glitter	sonaglini	
glorie	spaghetti	
glutei	spalle1	
gnocchi	spalle2	
gobbi	spallacci	
gonne	spalti	
gonnelle	specie	
governanti	spedizioni	
gradi	speranze	
graffiti	spiedini	
granaglie	sponsali	
grappette	sposini	
grassoli	sposi1	
gravicettori	sposi2	
grazie1	stelle	
grazie2	stellette	
grenadine	straccetti	
griccioli	stracci	
griffe	strettezze	
griselle	strisce	
grofi	struffoli	
guai	strumenti	
guancette	studi	
guanti	sughi	
guantoni	suoceri	
guardareggitori	suste	
guide	svanziche	
gusti	tabacchi	
hezbollah	taglieri	
iconolatri	talari	
idee	tamburini	
idrazine	tasche	
idroscì	tastiere	
ignoti	tavelle	
imbutini	tavole1	
imenei	tavole2	
immortali1	teghe	
immortali2	telecomunicazioni	
importazioni	tempie	
imprese	tenaglie	
imprevisti	tenebre1	
incantesimo	tenebre2	
incerti1	tenebre3	
incerti2	termini1	
incipienti	termini2	
inclinazioni	terzi	
incombenti	tessili	
incomprensioni	torcinelli	
incunaboli	tortorelle	
indagini	trasmissioni	
indentazioni	trasporti1	
indiscernibili	trasporti2	
infiammabili	tripoline	
infrastrutture	trombe	
iniziali	tubetti	
iniziamenti	ultimissime	
innocenti	universali	
insaccati	urne	
insegne	valori	
intellettuali	varia	
intemperanze	vecchi	
intemperie	vecchioni	
interni1	veci	
interni2	vede	
interni3	vedute	
intimità	vegetanti	
intorni	vele	
intrigoni	verdoni	
invenie1	vergogne	
invenie2	vermi	
invenzioni	versi	
inverosimiglianze	vesti	
ipaspisti	vetrerie	
ipereti	vetrine	
ire	vibrisse	
istanze	vicennali	
istituzioni	vicinanze	
istruzioni	vizi	
knickerbocker1	voglie	
knickerbocker2	voleri	
lacrime	volontà	
lacune	zanche	
lambrecchini1	zebre1	
lambrecchini2	zebre2	
lambrecchini3	zebrati	
languori	zii	
lanterne	zolle	
lappole		
lasagne		
laterizi		
latinucci		
latomie		
latticini		
lavori1		
lavori2		
leggings		
legumi		
leliard		
lemuri		
lenti1		
lenti2		
lenticchie		
lentiggini		
epridi		
lettere		
levaldine		
lineature		
linguine		
lini		
liquidi		
locali		
luccianti		
luci1		
luci2		
ludi1		
ludi2		
lumache		
lupini		
maccheroni		
macchine		
madamerie		
maestranze		
magnificenze		
maleparole		
malcontenti		
malfatto		
maltagliati		
mamertini		
mancanti		
mancanze		
maneghi1		
maneghi2		
manette		
maniere		
manopole		
mantelletti		
marenghi		
marosi		
maroni		
masserizie		
materialità		
matine		
maxitagli		
mazzetti		
meandri1		
meandri2		
meandri3		
media		
mene		
meningi1		
meningi2		
meraviglie1		
meraviglie2		
meraviglie3		
merie		
messaggerie		
messi		
mestrui		
metalli		
metodi		
mezzanelli		
mezzani		
microbi		
midolle		
midolli		
mimose		
minacce		
minchionerie		
minerve		
minislip		
minugie		
minutaglie		
minutenze		
minuterie		
minuzie		
mioritmie		
miracoli1		
miracoli2		
miserie		
misure		
mitene		
moderni		
modi		
molestie		
molle		
mollette		
mollezze		
molliche		
momenti		
mondiali		
montuosità		
moon boot		
morbidezze		
morbiglioni		
morici		
morse		
mostreggiature		
motaci		
motorizzazioni		
muffole		
municipali		
munizioni		
murazzi1		
murazzi2		
muscoli1		
muscoli2		
mustacchi		
mutande		
mutandine		
mutandoni		
nacchere		
napoleonidi		
napoletani		
narcodollari		
narcolire		
nastrini		
nati		
naturali		
nausee		
nazareni1		
nazareni2		
nazionali		
nervi		
nespole		
nidi		
ninni		
noachidi		
noiosità		
nonni		
noodles		
nozioni		
nudità		
nughe		
occhiaie		
occhiali		
occhialoni		
offelle		
officine		
oligarchici		
olimpiadi1		
olimpiadi2		
onde		
onoranze		
onori1		
onori2		
opanka		
open		
opere		
ordinamenti		
ordini		
occhiere		
orecchiette		
orecchioni		
orientamenti		
orizzontali		
orme		
orpelli		
orrori		
ortaggi		
osservanze		
ostilità		
ostri		
overall		
paccheri		
padri		
paglie		
pagliuzze		
palle		
palline		
palmisti		
paltrufali		
paludi		
pampini		
panagglutinine		
panie		
pannamenti		
panni		
pansotti		
pantacollant		
pantajazz		
pantaloncini1		
pantaloncini2		
pantaloni		
pantavento		
pappardelle		
paraggi		
paralleli		
paranoie		
paraolimpiadi		
parerghi		
parole1		
parole2		
parti		
partenze		
pasdaran		
passatelli		
passatini		
pasticci		
pastinacci		
patatine		
patimenti		
patrioti		
pattine		
pattini		
paturnie		
pedignoni		
pellicine		
peloidi		
pelucchi		
penati		
pendenti		
pendentini		
penere		
penetrali1		
penetrali2		
penicilli		
penne		
pennacchine		
pennacchi		
pennidi		
pensierini		
pensieri		
pensili		
pentolini		
peperini		
perciatelli		
perdite1		
perdite2		
peregrinazioni		
periechi		
peripezie		
perline		
perline		
persiane		
pesche		
peste		
petrodollari		
pettorali		
phylè		
piegamenti		
piegoline		
pilotis		
pinax		
pinze		
pinzillacchere		
pipe		
pippe		
piume		
pizzoccheri		
platform		
polpe		
polveri		
pome		
pomi		
pompeiani		
pontremolesi		
popolari		
porosità		
posate		
possedimenti		
possessi1		
possessi2		
possibilità		
posterghi		
posteriorità		
posteri		
postumi		
potenti		
potenziali		
potenzialità		
pratiche		
preamboli		
preci		
precedenti		
precipitazioni		
precogniti		
predecessori		
preferenze1		
preferenze2		
preleggi		
preparativi		
presaghe		
presentazioni		
presenti		
presse		
prestazioni		
preterito		
pretoriani		
previdenze		
previsioni		
preziosità		
preziosi		
priamidi		
primi		
primogenitori		
primordi		
principi1		
principi2		
principi3		
privazioni		
proavi		
proboviri		
procuratie		
professorini		
profiterole		
profitti		
profondità		
profumerie		
progenitori1		
progenitori2		
proiettili		
pronipoti		
propilei		
propinqui		
prospettive		
prossimamente		
proventi		
provvidenze		
provvisioni		
provviste		
pubblicazioni		
pugillari		
pulizie		
purgazioni		
quadrelli		
quadrette		
quadretti		
quadrettoni		
quadrigliato		
quadri		
quadrotti		
quagliette		
quaresimali		
quattrinelli		
quattrini		
quipi		
quiriti		
rachimburghi		
radioservizi		
radiotrasmissioni		
raffaellesche		
raffinatezze		
raffiuoli		
ragazzi		
ragioni		
ramage		
ramen		
rancori		
ranghi1		
ranghi2		
rapaccini		
rapporti		
ravioli		
recchiatelle		
redini1		
redini2		
redini3		
reduttoni		
referenze		
regalie		
reginali		
regi		
regolari		
reliquie		
rendite		
repubblicani		
repubblichini		
resti		
reticulidi		
retrovie		
rezzinelle		
ricambi		
ricami		
ricchezze		
ricciarelle		
ricci		
ricercatezze		
richiesti		
ricordi		
riduzioni		
rifiniture		
rifiuti		
rifornimenti		
rifreddi		
rigatoni		
rilievi1		
rilievi2		
rime		
rimanenze		
rincalzi		
rincontri1		
rincontri2		
rinforzi		
rinfuse		
ringraziamenti		
rinunce		
riposi		
rischi		
risorse		
risparmi		
rispetti		
ristorni		
ristrettezze		
risultanze		
ritorte		
ritti		
romulidi		
rondinelle		
rosselle		
rosselli		
rossetti		
rosticci		
rotaie		
rotondità		
rottami		
rovine1		
rovine2		
rubini		
ruderi		
rurali		
ruspi		
ruspoli		
rusponi		
ruteni		
sabbie		
sabbiature		
saccobronchi		
salamelecchi		
salati		
sali		
salicilici		
salmerie		
salumi		
salutissimi		
sancarlini		
sanitari		
santissimi		
santore		
sanzioni		
sartie		
saturnali		
savi		
scadenze		
scartoffie		
scasimi		
scatolati		
scazzi		
schemi		
scherne		
schettini		
schiavettoni		
schiavoni		
schisi		
scienze		
scienze		
scontri		
scorie1		
scorie2		
scorie3		
scuse		
secolari		
sedanini		
sedani		
selci		
selezioni		
sembianze1		
sembianze2		
semi		
semenze		
seminudità		
sentimenti		
serve		
servizi		
seste		
seterie		
sevizie		
sfrenatezze		
sgoccioli		
sì		
singhiozzi		
skill		
slip1		
slip2		
smagi		
smancerie		
smanie		
smorfie		
sneakers		
soccorsi		
sofferenze1		
sofferenze2		
soldati		
soldini		
soldi		
soldoni		
soli		
sorbe		
sorbole		
sostanze		
sottaceti		
sottotitoli		
spade		
spaghetti		
sparterie		
specie		
spezie		
spezierie		
spiccioli		
spigolature		
spigoli		
spine		
spinaci		
spoglie1		
spoglie2		
spogli		
sponsalizie		
spuntature		
spuntature		
spurghi		
squasimodei		
stabilimenti		
stampe		
stampite		
stanze		
steccobende		
stelle		
stellette		
stelline1		
stelline2		
stenti		
stigli		
stime		
stoppacci		
stoppie		
stortini		
stoviglie		
stoviglierie		
straccali1		
straccali2		
straccali3		
stracci		
strangolapreti		
strangoli		
stranguglioni1		
stranguglioni2		
stranieri		
stravizi		
strozzapreti1		
strozzapreti2		
studenteschi		
stuzzichini		
suffumigi		
suoli		
superfluità		
superpoteri		
suppellettili		
svenie		
svolazzi		
tabi		
tagliarelli		
tagliatelle		
tagliolini		
tajarin		
tarocchi		
tauridi		
tecnologici		
tegoline		
tele		
teleoperazioni		
tempere		
tempeste		
temporalità		
tempre		
tenaglie		
tendaggi		
tenebre		
tenerezze		
tenerumi		
teorie		
terbidi		
termini1		
termini2		
terraglie		
terrieri		
tipi		
titoli		
toghe		
tonsille		
topini		
torbidi		
tortelli1		
tortelli2		
tortellini		
tortelloni		
tortiglioni		
trampoli		
trampoli		
trapassati		
trasformazioni		
tratti		
trebbie		
trefoni		
treguani		
renette		
trial		
trisavi		
trisavoli		
tristezze		
troccoli		
trofie		
trombe		
tronchesi		
tropici		
truppe		
turbe		
turbolenze		
uguali		
umani		
umeboshi		
umili		
universiadi		
uova		
urenti		
urla		
utility		
vacanze1		
vacanze2		
vacche		
vaghezze		
valori		
vanni		
vapori1		
vapori2		
vedute		
veggioli		
velacci		
velaccioni		
veleni		
veliti		
veliti		
verdoni		
vermicelli		
verticali		
vertigini		
vestigi		
vettovaglie		
vezzi1		
vezzi2		
vicissitudini		
videoatti		
vimini		
vinacce		
viola		
viterie		
viventi		
voci		
voglie		
voti1		
voti2		
vulcaniti		
wonton		
zanne		
zatteroni		
zebedei		
ziti		
